Rank,Infinitiv,Präsens_ich,Präsens_du,"Präsens_er, sie, es",Präsens_wir,Präsens_ihr,Präsens_Sie,Präteritum_ich,Partizip II,Konjunktiv II_ich,Imperativ Singular,Imperativ Singular*,Imperativ Singular 2,Imperativ Plural,Imperativ Plural*,Hilfsverb,Hilfsverb*
2438,weiterreden,rede weiter,redest weiter,redet weiter,,,,redete weiter,weitergeredet,redete weiter,red weiter,rede weiter,,redet weiter,,haben,
2439,umbauen,baue um,baust um,baut um,,,,baute um,umgebaut,baute um,baue um,,,baut um,,haben,
2440,wichsen,wichse,wichst,wichst,,,,wichste,gewichst,wichste,wichse,,,wichst,,haben,
2441,dichten,dichte,dichtest,dichtet,,,,dichtete,gedichtet,dichtete,dichte,,,dichtet,,haben,
2442,knirschen,knirsche,knirschst,knirscht,,,,knirschte,geknirscht,knirschte,knirsche,,,knirscht,,haben,
2443,gabeln,gable,gabelst,gabelt,,,,gabelte,gegabelt,gabelte,gable,gabele,,gabelt,,haben,
2444,verladen,verlade,verlädst,verlädt,,,,verlud,verladen,verlüde,verlad,verlade,,verladet,,haben,
2445,mindern,mindere,minderst,mindert,,,,minderte,gemindert,minderte,mindere,,,mindert,,haben,
2446,mähen,mähe,mähst,mäht,,,,mähte,gemäht,mähte,mähe,mäh,,mäht,,haben,
2447,pochen,poche,pochst,pocht,,,,pochte,gepocht,pochte,poche,poch,,pocht,,haben,
2448,rebellieren,rebelliere,rebellierst,rebelliert,,,,rebellierte,rebelliert,rebellierte,rebelliere,rebellier,,rebelliert,,haben,
2449,verbarrikadieren,verbarrikadiere,verbarrikadierst,verbarrikadiert,,,,verbarrikadierte,verbarrikadiert,verbarrikadierte,verbarrikadier,verbarrikadiere,,verbarrikadiert,,haben,
2450,abfüllen,fülle ab,füllst ab,füllt ab,,,,füllte ab,abgefüllt,füllte ab,füll ab,fülle ab,,füllt ab,,haben,
2451,verstauchen,verstauche,verstauchst,verstaucht,,,,verstauchte,verstaucht,verstauchte,verstauch,verstauche,,verstaucht,,haben,
2452,triumphieren,triumphiere,triumphierst,triumphiert,,,,triumphierte,triumphiert,triumphierte,triumphier,triumphiere,,triumphiert,,haben,
2453,trügen,trüge,trügst,trügt,,,,trog,getrogen,tröge,trüg,trüge,,trügt,,haben,
2454,totlachen,lache tot,lachst tot,lacht tot,,,,lachte tot,totgelacht,lachte tot,lach tot,lache tot,,lacht tot,,haben,
2455,festsetzen,setze fest,setzt fest,setzt fest,,,,setzte fest,festgesetzt,setzte fest,setz fest,setze fest,,setzt fest,,haben,
2456,einschläfern,schläfere ein,schläferst ein,schläfert ein,,,,schläferte ein,eingeschläfert,schläferte ein,schläfer ein,schläfere ein,,schläfert ein,,haben,
2457,einfordern,fordere ein,forderst ein,fordert ein,,,,forderte ein,eingefordert,forderte ein,forder ein,fordere ein,,fordert ein,,haben,
2458,verlagern,verlagere,verlagerst,verlagert,,,,verlagerte,verlagert,verlagerte,verlagere,,,verlagert,,haben,
2459,veralten,veralte,veraltest,veraltet,,,,veraltete,veraltet,veraltete,veralte,,,veraltet,,sein,
2460,fortschreiten,schreite fort,schreitest fort,schreitet fort,,,,schritt fort,fortgeschritten,schritte fort,schreite fort,,,schreitet fort,,sein,
2461,dealen,deale,dealst,dealt,,,,dealte,gedealt,dealte,deale,deal,,dealt,,haben,
2462,tendieren,tendiere,tendierst,tendiert,,,,tendierte,tendiert,tendierte,tendiere,tendier,,tendiert,,haben,
2463,versklaven,versklave,versklavst,versklavt,,,,versklavte,versklavt,versklavte,versklave,,,versklavt,,haben,
2464,beaufsichtigen,beaufsichtige,beaufsichtigst,beaufsichtigt,,,,beaufsichtigte,beaufsichtigt,beaufsichtigte,beaufsichtig,beaufsichtige,,beaufsichtigt,,haben,
2465,überschwemmen,überschwemme,überschwemmst,überschwemmt,,,,überschwemmte,überschwemmt,überschwemmte,überschwemme,,,überschwemmt,,haben,
2466,quaken,quake,quakst,quakt,,,,quakte,gequakt,quakte,quake,quak,,quakt,,haben,
